#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,12,134.015784
0,4,134.025409
0.8128,26,134.23458
0.9208,11,134.260644
0.8704,18,134.305252
0,9,134.326998
0.7336,37,135.000581
0.8992,14,135.035653
0,2,135.040901
0.8632,19,135.088068
0,2,135.093567
0.9136,12,135.124296
0,125,136.044452
0.9928,1,136.047333
0,5,136.06076
0,4,136.07071
0.928,10,136.098324
0,19,136.145998
0.9568,6,136.161329
0.892,15,136.787796
0.9928,1,136.790529
0,107,137.055444
0,4,137.065622
0.9784,3,137.07345
0.928,10,137.658382
0.7192,39,137.75626
0,2,137.761174
0,125,138.641989
0,14,138.677963
0.9568,6,138.692961
0,17,138.735188
0,5,138.748552
0.9784,3,138.75707
0.9568,6,138.771536
0.9784,3,138.779113
0,7,138.795949
0.9784,3,138.80311
0.5824,58,139.508491
0,7,139.525742
0.9784,3,139.533326
0.8632,19,139.580309
0.6472,49,139.702963
0.9784,3,139.710618
0.9568,6,140.291784
0,6,140.307113
0,1,140.309812
0,6,140.32504
0.9424,8,140.344826
0.9856,2,140.350094
0,31,140.42769
0.9856,2,140.43276
0.9928,1,140.441501
0,123,141.298077
0.8272,24,141.357065
0,8,141.377139
0.8848,16,141.415725
0,125,142.276071
0,125,143.143574
0,6,143.15787
0.9784,3,143.165554
0,10,143.188975
0,8,143.208993
0,2,143.214155
0.856,20,143.826214
0.9928,1,143.829067
0,125,144.695419
0.8704,18,144.740504
0.9424,8,144.760618
0,13,144.79286
0.7048,41,144.890854
0.9712,4,144.900845
0.9568,6,144.91619
0.892,15,144.953216
0,31,145.594309
0.9712,4,145.605282
0,29,145.677374
0,25,145.737187
0.7984,28,145.806481
0.9568,6,145.820854
0.7984,28,146.44408
0,9,146.466864
0.9352,9,146.489948
0,41,146.589527
0,8,146.60874
0.7984,28,146.67686
0.9856,2,146.681971
0,3,146.689408
0.9784,3,146.697357
0.9424,8,146.716892
0,125,147.604658
0.9136,12,148.187931
0,7,148.20606
0.9856,2,148.210853
0,6,148.226089
0,5,148.239443
0.9928,1,148.241907
0,53,148.373387
0,109,149.206503
0.9568,6,149.22139
0.9496,7,149.238156
0,3,149.245147
0,2,149.250849
0.9352,9,149.273651
0.9784,3,149.282013
0.9928,1,149.284621
0.6832,44,149.950735
0.9064,13,149.983385
0,1,149.986058
0,4,149.996871
0,12,150.027714
0.64,50,150.152329
0.9856,2,150.157916
0.9496,7,150.174448
0,2,150.180268
0,5,150.193048
0.9352,9,150.216394
0,6,150.2326
0.9928,1,150.235269
0.9136,12,150.825035
0,9,150.846741
0,38,150.939643
0,9,150.962411
0.7696,32,151.042526
0,2,151.047627
0.8704,18,151.091878
0.9136,12,151.122
0.9928,1,151.124662
0.82,25,151.747167
0,4,151.757785
0.9856,2,151.76283
0.8848,16,151.803976
0.4744,73,151.988172
0.9568,6,152.00456
0,22,152.619111
0.9928,1,152.622112
0.9856,2,152.627453
0.9784,3,152.635735
0.964,5,152.648132
0.9784,3,152.655786
0,57,152.797279
0.964,5,152.81057
0.9784,3,152.817881
0.9928,1,152.820696
0.9712,4,152.831515
0.928,10,152.854275
0,3,152.861486
0,5,152.874615
0,1,152.87748
0,15,153.474788
0.964,5,153.487978
0,8,153.510203
0.9064,13,153.546365
0.9784,3,153.554035
0,125,154.43016
0,7,154.446978
0.7552,34,154.529337
0,69,155.277033
0.9784,3,155.284898
0.5968,56,155.426586
0,1,155.429389
0,5,155.443124
0,7,155.46124
0.8776,17,155.5041
0,125,156.532692
0.964,5,156.545516
0,105,157.398285
0,7,157.416879
0.9856,2,157.423231
0,125,158.343173
0,13,158.377877
0,24,158.439678
